Original Boat ID,Original Model,Original Area,Recommended Model,Recommended Type,Recommended Area,Area Difference
1,Mootor boat,76,Hudson Bay 50 Sedan,power,75.29560992,0.704390079999996
1,Mootor boat,76,C52 Command Bridge,power,75.70111311,0.2988868900000057
1,Mootor boat,76,48 Open,power,75.80888064,0.19111936000000185
1,Mootor boat,76,48 Sport Coupe,power,75.80888064,0.19111936000000185
1,Mootor boat,76,Oceanis 51.1,sail,74.62436688,1.3756331200000034
2,Mootor boat,74,Hudson Bay 50 Sedan,power,75.29560992,1.295609920000004
2,Mootor boat,74,Oceanis 51.1,sail,74.62436688,0.6243668799999966
3,Mootor boat,69,50 Sedan,power,70.13296941,1.1329694100000012
3,Mootor boat,69,47 Custom Hardtop,power,68.02918007,0.9708199300000047
3,Mootor boat,69,GT45X,power,68.9805072,0.01949279999999476
5,Mootor boat,46,42 Open,power,45.18432253,0.8156774699999971
5,Mootor boat,46,42 Open Fisherman,power,45.18432253,0.8156774699999971
6,Mootor boat,30,320 CC,power,29.7289728,0.2710271999999989
6,Mootor boat,30,320CC,power,30.07374527,0.07374526999999986
8,Mootor boat,51,PZero 1400 Cabin,power,51.28247808,0.2824780799999971
8,Mootor boat,51,PZero 1400 Carbon Edition,power,51.28247808,0.2824780799999971
8,Mootor boat,51,C40,power,51.39396173,0.3939617300000009
9,Moving boat,55,MC4,power,55.3934376,0.3934375999999986
9,Moving boat,55,39,power,54.3482784,0.6517216000000019
10,Mootor boat,16,SLS-1,power,15.7935168,0.2064831999999992
10,Mootor boat,16,250 Cc,power,16.10938714,0.10938713999999905
10,Mootor boat,16,208 Bay,power,15.99614762,0.0038523799999996555
10,Mootor boat,16,Ultra 211,power,16.15676769,0.1567676899999988
10,Mootor boat,16,S224,power,16.18742569,0.1874256900000013
10,Mootor boat,16,Z521L,power,16.19916863,0.19916862999999907
10,Mootor boat,16,21 LTS,power,16.25152879,0.2515287899999983
10,Mootor boat,16,621 FS,power,16.25152879,0.2515287899999983
10,Mootor boat,16,LX21 Center Console,power,16.18835472,0.18835471999999953
10,Mootor boat,16,20 Aurora,power,15.7935168,0.2064831999999992
10,Mootor boat,16,SW 2086 C,power,15.7935168,0.2064831999999992
10,Mootor boat,16,202 Fisherman,power,16.05410983,0.05410983000000158
10,Mootor boat,16,21 VLX,power,15.93937457,0.06062542999999998
10,Mootor boat,16,200 SunSpree,power,16.18835472,0.18835471999999953
10,Mootor boat,16,2075 Pro-V Sport,power,15.7935168,0.2064831999999992
10,Mootor boat,16,2075 Tyee,power,15.99614762,0.0038523799999996555
10,Mootor boat,16,Cruiser 210,power,15.7935168,0.2064831999999992
10,Mootor boat,16,Super Air Nautique 210,power,15.93937457,0.06062542999999998
10,Mootor boat,16,21 H2O Sport,power,16.25152879,0.2515287899999983
10,Mootor boat,16,XT21,power,16.18985046,0.18985045999999883
10,Mootor boat,16,210 Dauntless,power,16.18835472,0.18835471999999953
10,Mootor boat,16,M20,power,15.7935168,0.2064831999999992
10,Mootor boat,16,20 SSRXP,power,15.7935168,0.2064831999999992
10,Mootor boat,16,LX 21 CC,power,16.18835472,0.18835471999999953
11,Mootor boat,33,35 ST,power,32.516064,0.4839359999999999
11,Mootor boat,33,34 cc,power,33.16638528,0.16638528000000008
11,Mootor boat,33,335,power,32.71208941,0.28791059000000274
11,Mootor boat,33,370 SH,power,33.23977868,0.23977868000000058
11,Mootor boat,33,36 Center Console,power,33.4450944,0.4450944000000021
12,Moving boat,35,355 LXF,power,34.9547688,0.04523120000000347
12,Moving boat,35,350 Realm,power,35.21489731,0.2148973099999978
12,Moving boat,35,OS 325 Offshore,power,34.71182735,0.2881726499999999
12,Moving boat,35,390 Center Console,power,35.61623844,0.6162384399999965
12,Moving boat,35,350 Crossover Bowrider,power,34.9547688,0.04523120000000347
12,Moving boat,35,NC 1095,power,35.00029129,0.00029128999999983307
12,Moving boat,35,350LX,power,35.02176118,0.021761179999998603
12,Moving boat,35,344 Center Console,power,35.28271653,0.28271653000000185
12,Moving boat,35,350 Sun Sport,power,34.9547688,0.04523120000000347
